iter	MultiClass
0	2.569229692
1	2.437286609
2	2.345762493
3	2.254935165
4	2.175367926
5	2.104565764
6	2.041690204
7	1.9868271
8	1.935373202
9	1.887593491
10	1.848338305
11	1.80654113
12	1.76924088
13	1.733660347
14	1.700739349
15	1.669132689
16	1.644885199
17	1.618668073
18	1.591640552
19	1.568776027
20	1.543310693
21	1.521857777
22	1.498912342
23	1.476882793
24	1.458597956
25	1.438333215
26	1.4230565
27	1.404639861
28	1.388806546
29	1.373867747
30	1.358044216
31	1.342962603
32	1.324485231
33	1.309648494
34	1.295376888
35	1.282688501
36	1.270761921
37	1.260094893
38	1.245525425
39	1.235378884
40	1.225216492
41	1.216598641
42	1.207226718
43	1.196670251
44	1.186753325
45	1.177062287
46	1.168831211
47	1.159922063
48	1.151599449
49	1.144123245
50	1.134582492
51	1.127285416
52	1.119889889
53	1.11057153
54	1.104731221
55	1.097256035
56	1.090489259
57	1.084965036
58	1.078843138
59	1.07361472
60	1.067497337
61	1.061190612
62	1.054804023
63	1.049076562
64	1.043463966
65	1.036813818
66	1.031055902
67	1.025533599
68	1.020766538
69	1.015338269
70	1.010347044
71	1.003922785
72	0.998018076
73	0.9935918096
74	0.9887255491
75	0.9844853847
76	0.9803727456
77	0.9763677251
78	0.9720317124
79	0.9676945823
80	0.9641556195
81	0.9595664418
82	0.9555672238
83	0.9514989885
84	0.9481276408
85	0.9442810671
86	0.9407872389
87	0.9367944685
88	0.9331990098
89	0.9293709336
90	0.9259706031
91	0.9224759567
92	0.9196641448
93	0.9164767666
94	0.9127140523
95	0.9097567175
96	0.9064873784
97	0.9031910735
98	0.8994520301
99	0.8961041891
100	0.8925343267
101	0.8894324998
102	0.8860140458
103	0.8830558508
104	0.8798535733
105	0.8772745157
106	0.8750490132
107	0.8721239836
108	0.8692640689
109	0.8668466907
110	0.8644683235
111	0.8624967828
112	0.8595544633
113	0.8561291751
114	0.8530408291
115	0.8496388141
116	0.8471371212
117	0.8443215681
118	0.8416280918
119	0.8384941852
120	0.8356189577
121	0.8334199661
122	0.8309872834
123	0.828232222
124	0.8254064242
125	0.8230153075
126	0.8203361496
127	0.8184139377
128	0.8158740236
129	0.8143247852
130	0.8121931886
131	0.8105313864
132	0.8084477479
133	0.8061209394
134	0.8035641279
135	0.801566015
136	0.7993106437
137	0.7971274943
138	0.7949654214
139	0.7924815203
140	0.7900218555
141	0.7883115796
142	0.786301213
143	0.7844539139
144	0.7821338018
145	0.7801306592
146	0.7783355546
147	0.7761249065
148	0.774402296
149	0.7724691062
150	0.7703202686
151	0.7685842861
152	0.7664166275
153	0.7642629144
154	0.7623776704
155	0.7604455751
156	0.7587619665
157	0.7567625813
158	0.7545529479
159	0.7531350369
160	0.7511575692
161	0.7490812447
162	0.7468510621
163	0.745109074
164	0.7434646532
165	0.7413363762
166	0.7393288545
167	0.7376844225
168	0.7359991789
169	0.7344869759
170	0.7330087833
171	0.7309013258
172	0.7293958502
173	0.7274137549
174	0.7253969123
175	0.7235400499
176	0.721681543
177	0.7196163366
178	0.7176832035
179	0.7160649807
180	0.7143813425
181	0.7129402492
182	0.7106861116
183	0.7086694124
184	0.7069690329
185	0.7051810713
186	0.7029637619
187	0.7008948466
188	0.6990200079
189	0.6975095841
190	0.6954806526
191	0.6939302667
192	0.6920489618
193	0.6908062794
194	0.6889580796
195	0.6881415116
196	0.6865479969
197	0.6852240307
198	0.6839610183
199	0.6826450187
200	0.6817693013
201	0.6807421814
202	0.6790153301
203	0.677231446
204	0.6755258014
205	0.6740367681
206	0.6727316473
207	0.6718297896
208	0.6708479762
209	0.6697364463
210	0.6684499073
211	0.6672001404
212	0.6658188428
213	0.6642819042
214	0.6630872407
215	0.6617059962
216	0.6605104545
217	0.6593383308
218	0.6578220431
219	0.6563133405
220	0.6549507113
221	0.6536894574
222	0.6528488277
223	0.6517503746
224	0.6502488789
225	0.6490149553
226	0.6472251355
227	0.6456931704
