iter	Passed	Remaining
0	29	14518
1	56	14076
2	84	13941
3	112	13975
4	141	14002
5	170	14051
6	199	14044
7	229	14110
8	259	14152
9	291	14279
10	323	14382
11	356	14478
12	387	14510
13	430	14949
14	460	14887
15	490	14848
16	521	14814
17	551	14775
18	581	14728
19	611	14687
20	642	14644
21	672	14603
22	701	14558
23	732	14529
24	763	14499
25	792	14451
26	822	14413
27	852	14369
28	881	14319
29	911	14286
30	941	14248
31	974	14255
32	1004	14215
33	1034	14172
34	1063	14131
35	1095	14122
36	1125	14079
37	1154	14041
38	1184	14004
39	1214	13966
40	1244	13929
41	1273	13890
42	1303	13858
43	1333	13821
44	1363	13781
45	1392	13747
46	1423	13719
47	1453	13686
48	1483	13651
49	1513	13622
50	1543	13592
51	1574	13564
52	1604	13529
53	1634	13498
54	1664	13466
55	1694	13437
56	1725	13407
57	1755	13375
58	1785	13344
59	1815	13310
60	1845	13279
61	1875	13249
62	1905	13216
63	1935	13184
64	1965	13153
65	1995	13123
66	2026	13093
67	2055	13055
68	2085	13023
69	2115	12993
70	2144	12958
71	2174	12926
72	2204	12897
73	2234	12866
74	2263	12829
75	2293	12797
76	2323	12761
77	2353	12731
78	2382	12695
79	2412	12668
80	2442	12636
81	2472	12605
82	2503	12575
83	2532	12541
84	2562	12511
85	2592	12482
86	2622	12450
87	2653	12424
88	2683	12393
89	2714	12364
90	2743	12331
91	2773	12301
92	2804	12272
93	2833	12239
94	2863	12208
95	2894	12179
96	2924	12149
97	2953	12114
98	2983	12083
99	3013	12052
100	3043	12023
101	3073	11992
102	3103	11963
103	3134	11933
104	3164	11903
105	3194	11872
106	3223	11840
107	3253	11808
108	3283	11780
109	3314	11750
110	3343	11718
111	3373	11686
112	3402	11652
113	3432	11621
114	3462	11591
115	3492	11562
116	3522	11531
117	3552	11500
118	3582	11469
119	3612	11439
120	3642	11407
121	3671	11375
122	3701	11345
123	3732	11317
124	3762	11286
125	3792	11256
126	3822	11225
127	3851	11194
128	3881	11164
129	3912	11134
130	3941	11103
131	3971	11071
132	4001	11041
133	4031	11011
134	4061	10981
135	4091	10950
136	4120	10918
137	4150	10888
